ticker,binomial_passed,independence_simple_passed,kupiec_passed,christoffersen_independence_passed,christoffersen_conditional_passed
A,false,true,false,true,false
AAPL,false,true,false,true,false
ABT,false,false,false,false,false
ACGL,false,true,false,true,false
ACN,false,true,false,true,true
ADBE,true,true,true,true,true
ADI,false,true,false,true,false
ADM,false,true,false,true,false
ADP,true,true,true,true,true
ADSK,true,true,true,true,true
AEE,false,true,false,true,false
AEP,false,false,false,false,false
AES,false,true,false,true,false
AFL,false,true,false,true,false
AIG,false,true,false,true,false
AIZ,false,true,false,true,false
AJG,false,true,false,true,false
AKAM,true,true,true,true,true
ALB,false,true,false,true,false
ALGN,true,true,true,true,true
ALL,false,true,false,true,false
AMAT,false,true,false,true,false
AMD,false,true,false,true,false
AME,false,true,false,true,false
AMGN,false,true,false,true,false
AMP,false,true,false,true,false
AMT,false,true,true,true,true
AMZN,false,true,false,true,false
AON,false,true,false,true,false
AOS,false,true,false,true,false
APA,false,true,false,true,false
APD,false,true,false,true,false
APH,false,true,true,true,true
ARE,false,true,false,true,false
ATO,false,true,false,true,false
AVB,false,true,false,true,false
AVGO,false,true,false,true,false
AVY,false,false,false,false,false
AWK,false,true,false,true,false
AXON,true,true,true,true,true
AXP,false,false,false,false,false
AZO,false,true,false,true,false
BA,false,false,false,false,false
BAC,false,true,false,true,false
BALL,false,true,true,true,true
BAX,false,true,false,true,false
BBY,true,true,true,true,true
BDX,false,true,false,true,true
BEN,false,true,false,true,false
BG,false,true,false,true,false
BIIB,true,true,true,true,true
BK,false,true,false,true,false
BKNG,false,true,false,true,true
BKR,false,true,false,true,false
BLDR,false,true,false,true,false
BLK,false,true,false,true,false
BMY,false,true,false,true,false
BR,false,true,false,true,false
BRO,false,true,false,true,true
BSX,false,true,false,true,false
BX,false,true,false,true,false
BXP,false,true,false,true,false
C,false,true,false,true,false
CAG,true,true,true,true,true
CAH,true,true,true,true,true
CAT,false,true,false,true,false
CB,false,true,false,true,false
CBRE,false,false,false,true,false
CCI,false,true,false,true,true
CCL,false,true,false,true,false
CDNS,false,true,false,true,false
CF,false,true,false,true,false
CHD,false,true,false,true,false
CHRW,true,true,true,true,true
CHTR,false,true,false,true,true
CI,false,true,false,true,false
CINF,false,true,false,true,false
CL,false,true,false,true,true
CLX,false,true,false,true,true
CMCSA,false,true,false,true,false
CME,false,true,false,true,false
CMG,false,true,false,true,false
CMI,false,true,false,true,false
CMS,false,true,false,true,false
CNC,false,true,false,true,false
CNP,false,true,false,true,false
COF,false,false,false,false,false
COO,false,true,false,true,true
COP,false,true,false,true,false
COR,false,true,false,true,false
COST,true,true,true,true,true
CPB,false,true,false,true,false
CPRT,false,true,false,true,true
CPT,false,false,false,false,false
CRL,true,true,true,true,true
CRM,true,true,true,true,true
CSCO,true,true,true,true,true
