ticker,binomial_passed,independence_simple_passed,kupiec_passed,christoffersen_independence_passed,christoffersen_conditional_passed
A,false,false,false,false,false
AAPL,false,true,false,true,false
ABT,false,false,false,false,false
ACGL,true,false,true,false,false
ACN,false,false,false,false,false
ADBE,true,false,true,false,false
ADI,false,true,true,true,true
ADM,false,true,false,true,false
ADP,true,true,true,true,true
ADSK,true,false,true,false,false
AEE,false,false,false,false,false
AEP,false,false,false,false,false
AES,false,true,false,true,false
AFL,true,false,true,false,false
AIG,false,false,true,false,false
AIZ,true,false,true,false,false
AJG,false,false,false,false,false
AKAM,true,true,true,true,true
ALB,false,false,true,false,false
ALGN,true,false,true,false,false
ALL,true,true,true,true,true
AMAT,true,false,true,false,false
AMD,false,true,false,true,true
AME,false,false,false,false,false
AMGN,true,true,true,true,true
AMP,false,false,false,false,false
AMT,true,false,true,false,false
AMZN,false,true,false,true,false
AON,false,false,false,false,false
AOS,true,false,true,false,false
APA,false,true,false,true,false
APD,false,false,false,false,false
APH,true,false,true,false,false
ARE,true,true,true,true,true
ATO,false,false,false,false,false
AVB,true,false,true,false,false
AVGO,true,true,true,true,true
AVY,false,false,false,false,false
AWK,false,false,false,false,false
AXON,false,true,false,true,true
AXP,true,false,true,false,false
AZO,false,true,false,true,false
BA,false,false,false,false,false
BAC,false,false,false,false,false
BALL,true,false,true,false,false
BAX,false,true,false,true,false
BBY,false,true,false,true,true
BDX,false,true,false,true,false
BEN,true,false,true,false,false
BG,true,true,true,true,true
BIIB,true,true,true,true,true
BK,true,false,true,false,false
BKNG,false,true,false,true,true
BKR,false,false,false,false,false
BLDR,true,false,true,false,false
BLK,false,false,false,false,false
BMY,true,true,true,true,true
BR,false,true,false,true,false
BRO,false,false,false,false,false
BSX,false,true,false,true,false
BX,false,false,false,false,false
BXP,true,false,true,false,false
C,false,false,false,false,false
CAG,true,false,true,false,false
CAH,true,true,true,true,true
CAT,false,false,true,false,false
CB,true,true,true,true,true
CBRE,false,false,false,false,false
CCI,true,true,true,true,true
CCL,false,true,false,true,false
CDNS,true,true,true,true,true
CF,false,true,false,true,true
CHD,true,true,true,true,true
CHRW,true,true,true,true,true
CHTR,true,true,true,true,true
CI,true,false,true,false,false
CINF,false,false,false,false,false
CL,true,false,true,false,false
CLX,false,true,false,true,false
CMCSA,false,true,false,true,false
CME,true,false,true,false,false
CMG,true,false,true,false,false
CMI,false,true,false,true,true
CMS,false,false,false,false,false
CNC,false,true,false,true,false
CNP,false,false,false,false,false
COF,false,false,false,false,false
COO,false,false,false,false,false
COP,false,false,false,false,false
COR,true,true,true,true,true
COST,false,false,false,false,false
CPB,false,false,false,false,false
CPRT,true,true,true,true,true
CPT,true,false,true,false,false
CRL,true,false,true,false,false
CRM,true,true,true,true,true
CSCO,true,false,true,false,false
CSGP,false,false,false,false,false
CSX,true,false,true,false,false
CTAS,false,false,false,false,false
CTRA,true,false,true,false,false
CTSH,false,false,false,false,false
CVS,true,true,true,true,true
CVX,true,false,true,false,false
D,false,false,false,false,false
DAL,false,false,false,false,false
DD,false,false,true,false,false
DE,false,true,true,true,true
DECK,true,true,true,true,true
DG,true,true,true,true,true
DGX,true,false,true,false,false
DHI,false,true,false,true,false
DHR,true,true,true,true,true
DIS,false,false,false,false,false
DLR,false,true,true,true,true
DLTR,true,false,true,false,false
DOC,false,false,false,false,false
DOV,false,false,false,false,false
DPZ,true,true,true,true,true
DRI,false,false,false,false,false
DTE,false,false,false,false,false
DUK,false,false,false,false,false
DVA,true,true,true,true,true
DVN,false,false,false,false,false
DXCM,true,false,true,false,false
EA,true,true,true,true,true
EBAY,true,true,true,true,true
ECL,true,false,true,false,false
ED,false,false,false,false,false
EFX,false,false,false,false,false
EG,true,false,true,false,false
EIX,true,false,true,false,false
EL,true,true,true,true,true
ELV,false,true,false,true,true
EMN,false,true,false,true,false
EMR,false,false,false,false,false
EOG,false,false,false,false,false
EQIX,true,false,true,false,false
EQR,false,false,true,false,false
EQT,true,true,true,true,true
ERIE,false,true,true,true,true
ES,false,false,false,false,false
ESS,true,false,true,false,false
ETN,true,false,true,false,false
ETR,false,false,true,false,false
EVRG,false,false,false,false,false
EW,false,true,false,true,false
EXC,false,false,false,false,false
EXPD,true,true,true,true,true
EXPE,true,false,true,false,false
EXR,true,false,true,false,false
F,true,true,true,true,true
FAST,true,true,true,true,true
FCX,true,false,true,false,false
FDS,false,false,false,false,false
FDX,false,false,false,false,false
FE,false,true,false,true,true
FFIV,true,true,true,true,true
FICO,false,false,false,false,false
FIS,false,false,false,false,false
FITB,false,false,false,false,false
FRT,true,false,true,false,false
FSLR,true,true,true,true,true
FTNT,false,false,false,false,false
GD,true,true,true,true,true
GE,true,false,true,false,false
GEN,false,true,false,true,true
GILD,true,true,true,true,true
GIS,false,true,true,true,true
GL,true,false,true,false,false
GLW,true,true,true,true,true
GOOG,true,true,true,true,true
GOOGL,false,false,false,false,false
GPC,true,false,true,false,false
GPN,true,false,true,false,false
GRMN,true,true,true,true,true
GS,false,false,false,false,false
GWW,true,true,true,true,true
HAL,true,false,true,false,false
HAS,true,true,true,true,true
HBAN,false,false,false,false,false
HD,true,false,true,false,false
HIG,true,false,true,false,false
HOLX,false,true,false,true,false
HON,false,false,false,false,false
HPQ,false,true,false,true,true
HRL,true,true,true,true,true
HSIC,false,false,true,false,false
HST,true,false,true,false,false
HSY,false,false,false,false,false
HUBB,false,false,false,false,false
HUM,false,true,false,true,false
IBM,false,true,false,true,false
ICE,false,false,false,false,false
IDXX,true,false,true,false,false
IEX,false,true,true,true,true
IFF,true,true,true,true,true
INCY,true,true,true,true,true
INTC,true,true,true,true,true
INTU,true,false,true,false,false
IP,true,false,true,false,false
IRM,true,true,true,true,true
ISRG,true,true,true,true,true
IT,false,false,false,false,false
ITW,false,false,false,false,false
IVZ,false,false,true,false,false
J,true,false,true,false,false
JBHT,false,true,true,true,true
JBL,true,false,true,false,false
JCI,false,false,false,false,false
JKHY,true,false,true,false,false
JNJ,false,false,false,false,false
JPM,false,false,false,false,false
KDP,false,false,true,false,false
KEY,true,false,true,false,false
KIM,true,true,true,true,true
KLAC,true,true,true,true,true
KMB,false,false,false,false,false
KMX,true,true,true,true,true
KO,false,false,false,false,false
KR,false,false,true,false,false
L,true,false,true,false,false
LDOS,true,false,true,false,false
LEN,true,true,true,true,true
LH,false,false,false,false,false
LHX,false,false,false,false,false
LII,false,false,false,false,false
LIN,true,false,true,false,false
LKQ,true,true,true,true,true
LLY,false,false,false,false,false
LMT,false,true,false,true,false
LNT,false,false,false,false,false
LOW,true,false,true,false,false
LRCX,false,true,true,true,true
LULU,true,true,true,true,true
LUV,false,false,false,false,false
LVS,false,false,false,false,false
LYV,true,false,true,false,false
MA,true,false,true,false,false
MAA,true,false,true,false,false
MAR,false,false,false,false,false
MAS,true,true,true,true,true
MCD,true,true,true,true,true
MCHP,true,false,true,false,false
MCK,true,true,true,true,true
MCO,false,false,false,false,false
MDLZ,true,false,true,false,false
MDT,true,true,true,true,true
MET,false,false,false,false,false
MGM,false,false,false,false,false
MHK,false,true,false,true,false
MKC,false,true,false,true,true
MKTX,true,true,true,true,true
MLM,true,true,true,true,true
MMC,true,false,true,false,false
MMM,true,true,true,true,true
MNST,true,false,true,false,false
MO,false,false,false,false,false
MOH,false,true,false,true,false
MOS,true,false,true,false,false
MPWR,true,true,true,true,true
MRK,true,false,true,false,false
MS,false,false,false,false,false
MSCI,true,false,true,false,false
MSFT,false,true,false,true,false
MSI,false,false,false,false,false
MTB,true,true,true,true,true
MTCH,true,false,true,false,false
MTD,false,false,false,false,false
MU,true,false,true,false,false
NDAQ,false,false,false,false,false
NDSN,true,false,true,false,false
NEE,true,false,true,false,false
NEM,false,true,false,true,false
NFLX,false,true,false,true,false
NI,true,false,true,false,false
NKE,false,false,true,false,false
NOC,false,false,false,false,false
NRG,false,false,false,false,false
NSC,false,true,false,true,false
NTAP,true,false,true,false,false
NTRS,true,false,true,false,false
NUE,true,true,true,true,true
NVDA,false,true,false,true,true
NVR,true,true,true,true,true
O,true,false,true,false,false
ODFL,false,true,false,true,false
OKE,false,false,false,false,false
