ticker,binomial_passed,independence_simple_passed,kupiec_passed,christoffersen_independence_passed,christoffersen_conditional_passed
A,true,false,true,false,false
AAPL,false,true,false,true,false
ABT,false,false,false,false,false
ACGL,false,false,false,false,false
ACN,false,false,false,false,false
ADBE,false,false,false,false,false
ADI,true,true,true,true,true
ADM,false,true,false,true,false
ADP,true,true,true,true,true
ADSK,true,false,true,false,false
AEE,false,false,false,false,false
AEP,false,false,false,false,false
AES,false,true,true,true,true
AFL,true,false,true,false,false
AIG,false,false,false,false,false
AIZ,true,false,true,false,false
AJG,false,false,false,false,false
AKAM,true,false,true,false,false
ALB,true,true,true,true,true
ALGN,true,false,true,false,false
ALL,true,true,true,true,true
AMAT,false,false,false,false,false
AMD,false,true,true,true,true
AME,false,false,false,false,false
AMGN,true,true,true,true,true
AMP,false,false,false,false,false
AMT,true,false,true,false,false
AMZN,false,true,false,true,false
AON,true,false,true,false,false
AOS,false,false,false,false,false
APA,false,true,false,true,false
APD,false,false,false,false,false
APH,false,false,true,false,false
ARE,false,false,false,false,false
ATO,false,false,false,false,false
AVB,false,false,false,false,false
AVGO,true,true,true,true,true
AVY,false,false,false,false,false
AWK,false,false,false,false,false
AXON,true,true,true,true,true
AXP,true,false,true,false,false
AZO,false,false,false,false,false
BA,false,false,false,false,false
BAC,false,false,false,false,false
BALL,false,false,false,false,false
BAX,false,false,false,false,false
BBY,false,true,false,true,false
BDX,false,true,false,true,false
BEN,true,false,true,false,false
BG,false,true,true,true,true
BIIB,true,true,true,true,true
BK,true,false,true,false,false
BKNG,false,true,false,true,false
BKR,false,false,false,false,false
BLDR,true,false,true,false,false
BLK,false,false,false,false,false
BMY,false,true,false,true,false
BR,false,true,false,true,false
BRO,false,false,false,false,false
BSX,false,true,false,true,false
BX,false,false,false,false,false
BXP,true,false,true,false,false
C,false,false,false,false,false
CAG,true,false,true,false,false
CAH,true,true,true,true,true
CAT,false,false,false,false,false
CB,true,false,true,false,false
CBRE,false,false,false,false,false
CCI,true,true,true,true,true
CCL,false,true,false,true,false
CDNS,true,true,true,true,true
CF,false,true,false,true,false
CHD,false,false,false,false,false
CHRW,true,true,true,true,true
CHTR,false,true,false,true,false
CI,false,false,false,false,false
CINF,false,false,true,false,false
CL,true,false,true,false,false
CLX,true,true,true,true,true
CMCSA,false,true,false,true,false
CME,false,false,false,false,false
CMG,true,false,true,false,false
CMI,false,true,false,true,false
CMS,false,false,false,false,false
CNC,false,true,false,true,true
CNP,false,false,false,false,false
COF,false,false,false,false,false
COO,false,false,false,false,false
COP,false,false,false,false,false
COR,false,true,true,true,true
COST,false,false,false,false,false
CPB,false,false,false,false,false
CPRT,true,true,true,true,true
CPT,true,false,true,false,false
CRL,true,false,true,false,false
CRM,true,true,true,true,true
CSCO,false,false,true,false,false
CSGP,true,false,true,false,false
CSX,false,false,true,false,false
CTAS,false,false,false,false,false
CTRA,true,false,true,false,false
CTSH,false,false,true,false,false
CVS,false,true,true,true,true
CVX,false,false,false,false,false
D,false,false,false,false,false
DAL,false,false,false,false,false
DD,true,false,true,false,false
DE,false,true,false,true,false
DECK,true,true,true,true,true
DG,true,true,true,true,true
DGX,true,true,true,true,true
DHI,false,true,true,true,true
DHR,true,true,true,true,true
DIS,false,false,false,false,false
DLR,false,false,false,false,false
DLTR,false,false,false,false,false
DOC,false,false,false,false,false
DOV,false,false,false,false,false
DPZ,true,true,true,true,true
DRI,false,false,false,false,false
DTE,false,false,false,false,false
DUK,false,false,false,false,false
DVA,true,true,true,true,true
DVN,false,false,false,false,false
DXCM,true,false,true,false,false
EA,true,true,true,true,true
EBAY,true,true,true,true,true
ECL,true,false,true,false,false
ED,false,false,false,false,false
EFX,false,false,false,false,false
EG,true,false,true,false,false
EIX,true,false,true,false,false
EL,false,false,false,false,false
ELV,false,true,false,true,false
EMN,false,true,false,true,true
EMR,false,false,false,false,false
EOG,false,false,false,false,false
EQIX,true,false,true,false,false
EQR,true,false,true,false,false
EQT,true,true,true,true,true
ERIE,false,true,true,true,true
ES,false,false,false,false,false
ESS,false,false,false,false,false
ETN,true,false,true,false,false
ETR,false,false,false,false,false
EVRG,false,false,false,false,false
EW,false,true,false,true,true
EXC,true,false,true,false,false
EXPD,true,true,true,true,true
EXPE,true,false,true,false,false
EXR,false,false,false,false,false
F,true,true,true,true,true
FAST,false,true,false,true,false
FCX,false,false,false,false,false
FDS,false,false,false,false,false
FDX,false,false,false,false,false
FE,false,true,false,true,true
FFIV,true,true,true,true,true
FICO,false,false,false,false,false
FIS,false,false,false,false,false
FITB,false,false,false,false,false
FRT,true,false,true,false,false
FSLR,false,true,false,true,true
FTNT,true,false,true,false,false
GD,true,true,true,true,true
GE,false,false,false,false,false
GEN,true,true,true,true,true
GILD,false,true,true,true,true
GIS,false,false,false,false,false
GL,true,false,true,false,false
GLW,true,true,true,true,true
GOOG,false,true,false,true,false
GOOGL,false,false,false,false,false
GPC,true,true,true,true,true
GPN,true,false,true,false,false
GRMN,true,true,true,true,true
GS,false,false,false,false,false
GWW,true,true,true,true,true
HAL,false,false,false,false,false
HAS,false,true,false,true,false
HBAN,false,false,false,false,false
HD,true,false,true,false,false
HIG,true,true,true,true,true
HOLX,false,true,false,true,false
HON,false,false,false,false,false
HPQ,false,true,false,true,false
HRL,false,true,true,true,true
HSIC,false,false,true,false,false
HST,true,false,true,false,false
HSY,false,false,false,false,false
HUBB,true,false,true,false,false
HUM,false,true,false,true,true
IBM,false,false,false,false,false
ICE,true,false,true,false,false
IDXX,true,true,true,true,true
IEX,false,true,false,true,true
IFF,true,true,true,true,true
INCY,true,true,true,true,true
INTC,true,true,true,true,true
INTU,true,false,true,false,false
IP,false,false,false,false,false
IRM,true,true,true,true,true
ISRG,true,false,true,false,false
IT,false,false,false,false,false
ITW,false,true,false,true,false
IVZ,false,false,false,false,false
J,true,false,true,false,false
JBHT,true,true,true,true,true
JBL,true,false,true,false,false
JCI,false,false,true,false,false
JKHY,true,false,true,false,false
JNJ,false,false,false,false,false
JPM,false,false,false,false,false
KDP,true,false,true,false,false
KEY,false,false,true,false,false
KIM,true,true,true,true,true
KLAC,true,true,true,true,true
KMB,false,false,false,false,false
KMX,false,false,false,false,false
KO,false,false,false,false,false
KR,true,false,true,false,false
L,false,false,false,false,false
LDOS,true,false,true,false,false
LEN,false,true,false,true,false
LH,true,false,true,false,false
LHX,false,true,false,true,false
LII,false,true,false,true,false
LIN,true,false,true,false,false
LKQ,true,true,true,true,true
LLY,true,true,true,true,true
LMT,true,true,true,true,true
LNT,false,false,false,false,false
LOW,true,false,true,false,false
LRCX,true,true,true,true,true
LULU,false,true,false,true,false
LUV,false,false,false,false,false
LVS,true,false,true,false,false
LYV,false,false,false,false,false
MA,true,false,true,false,false
MAA,false,false,true,false,false
MAR,false,false,false,false,false
MAS,false,true,true,true,true
MCD,true,false,true,false,false
MCHP,false,false,false,false,false
MCK,false,true,false,true,false
MCO,false,false,false,false,false
MDLZ,false,false,false,false,false
MDT,true,true,true,true,true
MET,false,false,false,false,false
MGM,false,false,false,false,false
