ticker,binomial_passed,independence_simple_passed,kupiec_passed,christoffersen_independence_passed,christoffersen_conditional_passed
A,false,true,false,true,false
AAPL,false,true,false,true,true
ABT,false,false,false,false,false
ACGL,false,false,false,false,false
ACN,false,false,false,false,false
ADBE,true,false,true,false,false
ADI,true,true,true,true,true
ADM,false,true,false,true,false
ADP,false,true,true,true,true
ADSK,true,false,true,false,false
AEE,false,false,false,false,false
AEP,true,false,true,false,false
AES,false,false,true,false,false
AFL,true,false,true,false,false
AIG,false,false,false,false,false
AIZ,true,false,true,false,false
AJG,false,false,false,false,false
AKAM,true,true,true,true,true
ALB,true,true,true,true,true
ALGN,true,false,true,false,false
ALL,true,false,true,false,false
AMAT,true,false,true,false,false
AMD,true,true,true,true,true
AME,true,true,true,true,true
AMGN,true,true,true,true,true
AMP,false,false,false,false,false
AMT,true,false,true,false,false
AMZN,true,false,true,false,false
AON,false,true,false,true,false
AOS,true,true,true,true,true
APA,false,false,true,false,false
APD,false,false,false,false,false
APH,true,false,true,false,false
ARE,true,true,true,true,true
ATO,false,false,true,false,false
AVB,true,false,true,false,false
AVGO,true,true,true,true,true
AVY,false,false,false,false,false
AWK,false,false,false,false,false
AXON,false,true,true,true,true
AXP,true,false,true,false,false
AZO,false,true,false,true,false
BA,false,false,false,false,false
BAC,false,false,false,false,false
BALL,true,false,true,false,false
BAX,false,true,false,true,false
BBY,false,true,false,true,false
BDX,false,true,false,true,false
BEN,true,false,true,false,false
BG,false,true,false,true,true
BIIB,true,true,true,true,true
BK,false,false,true,false,false
BKNG,false,true,true,true,true
BKR,false,true,true,true,true
BLDR,true,false,true,false,false
BLK,false,false,false,false,false
BMY,false,true,true,true,true
BR,true,true,true,true,true
BRO,false,false,false,false,false
BSX,true,true,true,true,true
BX,false,false,false,false,false
BXP,true,false,true,false,false
C,false,false,false,false,false
CAG,true,false,true,false,false
CAH,true,true,true,true,true
CAT,false,false,true,false,false
CB,false,false,false,false,false
CBRE,true,false,true,false,false
CCI,true,true,true,true,true
CCL,false,true,false,true,false
CDNS,true,true,true,true,true
