ticker,binomial_passed,independence_simple_passed,kupiec_passed,christoffersen_independence_passed,christoffersen_conditional_passed
A,false,false,false,false,false
AAPL,false,false,false,false,false
ABT,false,false,false,false,false
ACGL,false,false,false,false,false
ACN,false,true,false,true,false
ADBE,false,false,false,false,false
ADI,false,false,false,false,false
ADM,false,false,false,false,false
ADP,false,false,false,false,false
ADSK,false,false,false,false,false
AEE,false,false,false,false,false
AEP,false,false,false,false,false
AES,false,false,false,false,false
AFL,false,false,false,false,false
AIG,false,true,false,true,false
AIZ,false,false,false,false,false
AJG,false,false,false,false,false
AKAM,false,false,false,false,false
ALB,false,false,false,false,false
ALGN,false,false,false,false,false
ALL,false,false,false,false,false
AMAT,false,false,false,false,false
AMD,false,false,false,false,false
AME,false,false,false,false,false
AMGN,false,false,false,false,false
AMP,false,true,false,true,false
AMT,false,false,false,false,false
AMZN,false,false,false,false,false
AON,false,false,false,false,false
AOS,false,false,false,false,false
APA,false,false,false,false,false
APD,false,false,false,false,false
APH,false,true,false,true,false
ARE,false,false,false,false,false
ATO,false,false,false,false,false
AVB,false,false,false,false,false
AVGO,false,false,false,false,false
AVY,false,true,false,true,false
AWK,false,false,false,false,false
AXON,false,false,false,false,false
AXP,false,false,false,false,false
AZO,false,false,false,false,false
BA,false,false,false,false,false
BAC,false,true,false,true,false
BALL,false,false,false,false,false
BAX,false,false,false,false,false
BBY,false,false,false,false,false
BDX,false,false,false,false,false
BEN,false,true,false,false,false
BG,false,false,false,false,false
BIIB,false,false,false,false,false
BK,false,false,false,false,false
BKNG,false,false,false,false,false
BKR,false,false,false,false,false
BLDR,false,false,false,false,false
BLK,false,false,false,false,false
BMY,false,false,false,false,false
BR,false,false,false,false,false
BRO,false,false,false,false,false
BSX,false,true,false,true,false
BX,false,false,false,false,false
BXP,false,false,false,false,false
C,false,false,false,false,false
CAG,false,false,false,false,false
CAH,false,false,false,false,false
CAT,false,true,false,false,false
CB,false,false,false,false,false
CBRE,false,false,false,false,false
CCI,false,false,false,false,false
CCL,false,false,false,false,false
CDNS,false,false,false,false,false
CF,false,false,false,false,false
CHD,false,false,false,false,false
CHRW,false,false,false,false,false
CHTR,false,false,false,false,false
CI,false,false,false,false,false
CINF,false,false,false,false,false
CL,false,false,false,false,false
CLX,false,false,false,false,false
CMCSA,false,false,false,false,false
CME,false,false,false,false,false
CMG,false,false,false,false,false
CMI,false,true,false,true,false
CMS,false,false,false,false,false
CNC,false,false,false,false,false
CNP,false,false,false,false,false
COF,false,false,false,false,false
COO,false,false,false,false,false
COP,false,false,false,false,false
COR,false,false,false,false,false
COST,false,true,false,true,false
CPB,false,false,false,false,false
CPRT,false,false,false,false,false
CPT,false,false,false,false,false
CRL,false,false,false,false,false
CRM,false,false,false,false,false
CSCO,false,false,false,false,false
CSGP,false,false,false,false,false
CSX,false,false,false,false,false
CTAS,false,false,false,false,false
CTRA,false,false,false,false,false
CTSH,false,false,false,false,false
CVS,false,false,false,false,false
CVX,false,false,false,false,false
D,false,false,false,false,false
DAL,false,false,false,false,false
DD,false,false,false,false,false
DE,false,false,false,false,false
DECK,false,false,false,false,false
DG,false,false,false,false,false
DGX,false,false,false,false,false
DHI,false,false,false,false,false
DHR,false,false,false,false,false
DIS,false,false,false,false,false
DLR,false,false,false,false,false
DLTR,false,false,false,false,false
DOC,false,false,false,false,false
DOV,false,false,false,false,false
DPZ,false,false,false,false,false
DRI,false,false,false,false,false
DTE,false,false,false,false,false
DUK,false,false,false,false,false
DVA,false,true,false,true,false
DVN,false,false,false,false,false
DXCM,false,false,false,false,false
EA,false,false,false,false,false
